transaction_id,account_id,transaction_date,transaction_type,transaction_amount,transaction_status
1,453,2023-12-20 16:27:03,Deposit,143.25,Completed
2,419,2021-04-28 23:30:20,Withdrawal,29.01,Completed
3,450,2022-02-27 11:32:36,Transfered,233.27,Completed
4,995,2022-07-10 02:45:09,Transfered,1218.88,Completed
5,1139,2025-10-12 12:05:58,Withdrawal,41.14,Pending
6,51,2021-02-05 22:03:02,Withdrawal,95.47,Completed
7,1393,2022-06-15 07:46:53,Transfered,25.21,Completed
8,210,2021-04-01 06:21:15,Deposit,211.01,Completed
9,888,2024-08-17 03:10:08,Transfered,210.81,Completed
10,998,2025-10-14 09:53:27,Withdrawal,22.11,Pending
11,993,2025-10-24 17:08:04,Deposit,26.78,Pending
12,850,2024-05-25 10:04:41,Transfered,12.41,Completed
13,627,2025-10-25 07:35:26,Withdrawal,478.37,Pending
14,679,2021-04-08 03:46:41,Withdrawal,43.0,Completed
15,777,2025-01-19 00:18:55,Withdrawal,86.99,Completed
16,1251,2022-06-15 06:19:01,Deposit,68.95,Completed
17,663,2022-06-22 03:18:33,Deposit,267.32,Failed
18,268,2023-11-18 02:48:21,Deposit,192.52,Completed
19,116,2025-05-19 05:10:31,Deposit,182.51,Completed
20,754,2024-09-09 20:01:24,Withdrawal,44.17,Failed
21,1384,2024-05-31 10:14:30,Withdrawal,196.61,Completed
22,1353,2021-03-21 13:36:25,Deposit,251.75,Completed
23,1064,2022-07-17 07:33:35,Deposit,190.89,Failed
24,182,2025-01-21 17:15:10,Withdrawal,27.41,Completed
25,1233,2022-09-06 05:20:15,Transfered,32.14,Pending
26,903,2021-06-25 03:53:44,Transfered,565.17,Pending
27,1297,2022-06-06 21:22:29,Withdrawal,695.02,Pending
28,1143,2025-11-08 22:44:15,Deposit,92.76,Failed
29,946,2025-01-20 23:36:22,Deposit,92.64,Failed
30,258,2022-02-27 12:38:03,Withdrawal,116.44,Pending
31,509,2024-01-29 21:42:37,Transfered,177.51,Failed
32,92,2025-10-30 02:55:11,Withdrawal,23.51,Failed
33,1185,2024-11-27 05:32:03,Withdrawal,125.26,Failed
34,149,2022-07-30 02:55:58,Withdrawal,35.49,Pending
35,117,2024-11-04 00:08:46,Deposit,97.49,Completed
36,458,2022-06-15 00:29:13,Deposit,41.11,Pending
37,565,2021-11-28 07:17:28,Deposit,52.02,Completed
38,814,2024-09-03 04:04:16,Transfered,119.29,Completed
39,45,2022-10-15 06:27:46,Withdrawal,53.66,Completed
40,774,2025-04-10 17:55:55,Withdrawal,33.15,Failed
41,234,2023-01-10 17:29:55,Transfered,425.6,Completed
42,1399,2024-01-18 21:02:36,Deposit,33.63,Pending
43,197,2025-06-16 23:12:54,Withdrawal,9.87,Completed
44,25,2022-05-26 21:44:37,Transfered,175.7,Completed
45,395,2021-02-11 19:32:57,Deposit,74.46,Completed
46,714,2023-06-04 18:10:02,Deposit,96.61,Pending
47,1060,2024-11-13 15:02:56,Withdrawal,116.53,Failed
48,223,2021-03-22 11:35:33,Deposit,354.48,Completed
49,864,2022-02-06 04:00:18,Transfered,641.49,Completed
50,530,2021-04-17 10:19:45,Deposit,128.18,Pending
51,1212,2024-02-09 11:35:45,Withdrawal,30.7,Completed
52,257,2024-07-24 14:56:27,Transfered,115.12,Completed
53,654,2024-05-22 22:15:23,Deposit,179.32,Completed
54,1160,2025-11-02 14:27:15,Deposit,271.41,Pending
55,591,2022-05-21 18:19:44,Deposit,114.12,Completed
56,444,2024-02-19 14:34:22,Transfered,56.8,Completed
57,418,2024-03-03 10:22:33,Deposit,40.17,Failed
58,1316,2022-12-21 20:27:24,Withdrawal,88.54,Pending
59,574,2024-10-26 13:25:02,Transfered,22.18,Completed
60,129,2021-09-14 21:22:59,Transfered,147.58,Completed
61,1011,2025-09-17 06:13:55,Deposit,118.79,Completed
62,341,2025-12-27 16:02:08,Transfered,118.2,Completed
63,810,2023-08-12 00:20:38,Withdrawal,203.9,Completed
64,1281,2024-04-18 22:27:37,Transfered,424.53,Completed
65,992,2023-07-22 22:40:10,Withdrawal,92.72,Completed
66,100,2023-12-08 03:37:29,Deposit,107.44,Failed
67,39,2025-06-11 15:53:13,Transfered,68.74,Failed
68,263,2023-06-16 09:53:04,Withdrawal,172.69,Completed
69,150,2021-01-19 18:30:34,Deposit,98.73,Pending
70,690,2023-12-06 04:04:39,Withdrawal,315.78,Completed
